,id,OBJECTID,SiteID,RiverMile_100ths,RiverSide,MapLabel,EF,reach,Hoopnet
1,2,225,0.06_R,0.06,R,0.06 R,y,1,y
2,3,226,0.16_R,0.16,R,0.16 R,y,1,n
3,4,227,0.19_L,0.19,L,0.19 L,y,1,y
4,5,228,0.31_L,0.31,L,0.31 L,y,1,y
5,6,229,0.33_R,0.33,R,0.33 R,y,1,n
6,7,230,0.46_L,0.46,L,0.46 L,y,1,y
7,8,231,0.49_R,0.49,R,0.49 R,y,1,n
8,9,232,0.59_L,0.59,L,0.59 L,y,1,y
9,10,233,0.65_R,0.65,R,0.65 R,y,1,y
10,11,234,0.74_L,0.74,L,0.74 L,y,1,y
11,12,235,0.8_R,0.8,R,0.8 R,y,1,y
12,13,236,0.9_L,0.9,L,0.9 L,y,1,y
13,14,237,0.91_R,0.91,R,0.91 R,y,1,y
14,15,238,1.05_R,1.05,R,1.05 R,y,1,y
15,16,239,1.06_L,1.06,L,1.06 L,y,1,y
16,17,240,1.18_R,1.18,R,1.18 R,y,1,y
17,18,241,1.21_L,1.21,L,1.21 L,y,1,y
18,19,242,1.33_R,1.33,R,1.33 R,y,1,y
19,20,243,1.37_L,1.37,L,1.37 L,y,1,y
20,21,244,1.49_R,1.49,R,1.49 R,y,1,y
21,22,245,1.5_L,1.5,L,1.5 L,y,1,y
22,23,246,1.63_L,1.63,L,1.63 L,y,1,y
23,24,247,1.66_R,1.66,R,1.66 R,y,1,y
24,25,248,1.76_L,1.76,L,1.76 L,y,1,y
25,26,249,1.81_R,1.81,R,1.81 R,y,1,y
26,27,250,1.93_L,1.93,L,1.93 L,y,1,y
27,28,251,1.95_R,1.95,R,1.95 R,y,1,y
28,29,252,2.07_R,2.07,R,2.07 R,y,1,y
29,30,253,2.11_L,2.11,L,2.11 L,y,1,y
30,31,254,2.21_R,2.21,R,2.21 R,y,1,y
31,32,255,2.27_L,2.27,L,2.27 L,y,1,y
32,33,256,2.36_R,2.36,R,2.36 R,y,1,y
33,34,257,2.41_L,2.41,L,2.41 L,y,1,y
34,35,258,2.49_R,2.49,R,2.49 R,y,1,y
35,36,259,2.55_L,2.55,L,2.55 L,y,1,y
36,37,260,2.63_R,2.63,R,2.63 R,y,1,y
37,38,261,2.69_L,2.69,L,2.69 L,y,1,y
38,39,262,2.77_R,2.77,R,2.77 R,y,1,y
39,40,263,2.81_L,2.81,L,2.81 L,y,1,y
40,41,264,2.9_R,2.9,R,2.9 R,y,1,y
41,42,265,2.95_L,2.95,L,2.95 L,y,1,y
42,43,266,3.08_R,3.08,R,3.08 R,y,1,y
43,44,267,3.08_L,3.08,L,3.08 L,y,1,y
44,45,268,3.21_L,3.21,L,3.21 L,y,1,y
45,46,269,3.23_R,3.23,R,3.23 R,y,1,y
46,47,270,3.24_L,3.24,L,3.24 L,y,1,y
47,48,271,3.38_L,3.38,L,3.38 L,y,1,y
48,49,272,3.38_R,3.38,R,3.38 R,y,1,y
49,50,273,3.52_R,3.52,R,3.52 R,y,1,y
50,51,274,3.53_L,3.53,L,3.53 L,y,1,y
51,52,275,3.67_R,3.67,R,3.67 R,y,1,y
52,53,276,3.68_L,3.68,L,3.68 L,y,1,y
53,54,277,3.82_R,3.82,R,3.82 R,y,1,y
54,55,278,3.82_L,3.82,L,3.82 L,y,1,y
55,56,279,3.97_L,3.97,L,3.97 L,y,1,y
56,57,280,3.97_R,3.97,R,3.97 R,y,1,y
57,58,281,4.12_R,4.12,R,4.12 R,y,1,y
58,59,282,4.12_L,4.12,L,4.12 L,y,1,y
59,60,283,4.26_R,4.26,R,4.26 R,y,1,y
60,61,284,4.27_L,4.27,L,4.27 L,y,1,y
61,62,285,4.39_L,4.39,L,4.39 L,y,1,y
62,63,286,4.4_R,4.4,R,4.4 R,y,1,y
63,64,287,4.54_L,4.54,L,4.54 L,y,1,y
64,65,288,4.55_R,4.55,R,4.55 R,y,1,y
65,66,289,4.69_L,4.69,L,4.69 L,y,1,y
66,67,290,4.7_R,4.7,R,4.7 R,y,1,y
67,68,291,4.85_L,4.85,L,4.85 L,y,1,y
68,69,292,4.85_R,4.85,R,4.85 R,y,1,y
69,70,293,4.99_L,4.99,L,4.99 L,y,1,y
70,71,294,5_R,5,R,5 R,y,1,y
71,72,295,5.13_L,5.13,L,5.13 L,y,1,y
72,73,296,5.17_R,5.17,R,5.17 R,y,1,y
73,74,297,5.26_L,5.26,L,5.26 L,y,1,y
74,75,298,5.33_R,5.33,R,5.33 R,y,1,y
75,76,299,5.41_L,5.41,L,5.41 L,y,1,y
76,77,300,5.48_R,5.48,R,5.48 R,y,1,y
77,78,301,5.56_L,5.56,L,5.56 L,y,1,y
78,79,302,5.62_R,5.62,R,5.62 R,y,1,y
79,80,303,5.74_L,5.74,L,5.74 L,y,1,y
80,81,304,5.75_R,5.75,R,5.75 R,y,1,y
81,82,305,5.87_R,5.87,R,5.87 R,y,1,y
82,83,306,5.9_L,5.9,L,5.9 L,y,1,y
83,84,307,6_R,6,R,6 R,y,1,y
84,85,308,6.05_L,6.05,L,6.05 L,y,1,y
85,86,309,6.15_R,6.15,R,6.15 R,y,1,y
86,87,310,6.18_L,6.18,L,6.18 L,y,1,y
87,88,311,6.31_R,6.31,R,6.31 R,y,1,y
88,89,312,6.32_L,6.32,L,6.32 L,y,1,y
89,90,313,6.47_L,6.47,L,6.47 L,y,1,y
90,91,314,6.47_R,6.47,R,6.47 R,y,1,y
91,92,315,6.62_L,6.62,L,6.62 L,y,1,y
92,93,316,6.62_R,6.62,R,6.62 R,y,1,y
93,94,317,6.77_L,6.77,L,6.77 L,y,1,y
94,95,318,6.78_R,6.78,R,6.78 R,y,1,y
95,96,319,6.92_L,6.92,L,6.92 L,y,1,y
96,97,320,6.93_R,6.93,R,6.93 R,y,1,y
97,98,321,7.07_L,7.07,L,7.07 L,y,1,y
98,99,322,7.08_R,7.08,R,7.08 R,y,1,y
99,100,323,7.22_L,7.22,L,7.22 L,y,1,y
100,101,324,7.24_R,7.24,R,7.24 R,y,1,y
101,102,325,7.36_L,7.36,L,7.36 L,y,1,y
102,103,326,7.39_R,7.39,R,7.39 R,y,1,y
103,104,327,7.5_L,7.5,L,7.5 L,y,1,y
104,105,328,7.56_R,7.56,R,7.56 R,y,1,y
105,106,329,7.64_L,7.64,L,7.64 L,y,1,y
106,107,330,7.71_R,7.71,R,7.71 R,y,1,y
107,108,331,7.8_L,7.8,L,7.8 L,y,1,y
108,109,332,7.85_R,7.85,R,7.85 R,y,1,y
109,110,333,7.97_L,7.97,L,7.97 L,n,NA,n
110,111,334,7.97_R,7.97,R,7.97 R,n,NA,n
111,112,335,8.09_L,8.09,L,8.09 L,y,2,y
112,113,336,8.12_R,8.12,R,8.12 R,y,2,y
113,114,337,8.23_L,8.23,L,8.23 L,y,2,y
114,115,338,8.27_R,8.27,R,8.27 R,y,2,y
115,116,339,8.38_L,8.38,L,8.38 L,y,2,y
116,117,340,8.42_R,8.42,R,8.42 R,y,2,y
117,118,341,8.49_L,8.49,L,8.49 L,y,2,y
118,119,342,8.56_R,8.56,R,8.56 R,y,2,y
119,120,343,8.64_L,8.64,L,8.64 L,y,2,y
120,121,344,8.71_R,8.71,R,8.71 R,y,2,y
121,122,345,8.77_L,8.77,L,8.77 L,y,2,y
122,123,346,8.86_R,8.86,R,8.86 R,y,2,y
123,124,347,8.92_L,8.92,L,8.92 L,y,2,y
124,125,348,9_R,9,R,9 R,y,2,y
125,126,349,9.07_L,9.07,L,9.07 L,y,2,y
126,127,350,9.16_R,9.16,R,9.16 R,y,2,y
127,128,351,9.21_L,9.21,L,9.21 L,y,2,y
